Time (s),Ux,Uy,Uz,k,omega,p
653,0.000392545659677,1.50193235834e-05,0.000491146363557,0.000290233335367,4.54119392274e-06,0.00564309602919
654,0.000390066579839,1.49344385337e-05,0.000488731294847,0.000288232267049,4.53048318358e-06,0.00564053500424
655,0.000387856097381,1.48671879135e-05,0.000486559692215,0.00028621881878,4.51996897661e-06,0.00564323274839
656,0.000385659028454,1.48005039607e-05,0.000484438803627,0.000284205705959,4.51053542396e-06,0.00564755956517
657,0.000384136100899,1.47345475668e-05,0.000483058371151,0.00028216210468,4.49974335663e-06,0.00565358820228
658,0.000382528687996,1.46728496723e-05,0.000481618693627,0.000280112808236,4.49238881022e-06,0.00567697469349
659,0.000381185657504,1.4643611723e-05,0.000480262463438,0.000278102546775,4.48467032028e-06,0.00570709459624
660,0.000379933106956,1.46252451181e-05,0.00047898968195,0.000276104787266,4.47590133327e-06,0.00572642895201
661,0.000378935634107,1.46186936029e-05,0.000478010796303,0.000274108172921,4.46804224062e-06,0.00574405371806
662,0.000377713779918,1.46177630323e-05,0.000477637853575,0.000272162251134,4.45892415407e-06,0.00575978846604
663,0.000376844449783,1.46234175169e-05,0.000477823421976,0.000270228199104,4.45033695844e-06,0.00579742090727
664,0.000376141008753,1.46230889212e-05,0.000478144909257,0.000268308064203,4.4427917251e-06,0.00583754543028
665,0.000376006198528,1.46386741061e-05,0.000478798428615,0.000266430979756,4.43594114603e-06,0.00588905306507
666,0.000376302144674,1.46674183963e-05,0.000479608460004,0.000264581359693,4.42719695808e-06,0.00591573941601
667,0.00037686263807,1.47139330295e-05,0.000480507324869,0.000262761496283,4.41973718437e-06,0.00593015867121
668,0.00037731479443,1.47696653094e-05,0.00048136813926,0.000260986274901,4.41225218177e-06,0.00594771730832
669,0.000377961489806,1.48415884269e-05,0.000482457417892,0.00025925850448,4.40450206051e-06,0.00597042917866
670,0.000378181567263,1.49131366254e-05,0.000483891462552,0.000257589054631,4.39678530049e-06,0.00600062267586
671,0.000378773817456,1.4989027751e-05,0.000485587633863,0.000255965586182,4.38496282803e-06,0.00601024140914
672,0.00037935924857,1.50564481339e-05,0.000486766398891,0.000254366552568,4.37501933777e-06,0.0060196569644
673,0.00038004964219,1.51284586236e-05,0.0004879347819,0.000252835647572,4.36357024759e-06,0.00601628060546
674,0.00038001389571,1.51950990324e-05,0.000488632752653,0.000251319711358,4.34967597736e-06,0.00601183258341
675,0.000379687169496,1.52767755563e-05,0.000489501501889,0.000249798507424,4.33497411218e-06,0.00600284437503
676,0.000379037853457,1.53324821724e-05,0.000489829254677,0.000248285975088,4.32011294939e-06,0.0060004540455
677,0.000378322951116,1.53690852801e-05,0.000489951947068,0.000246777154576,4.30458360182e-06,0.00599363700544
678,0.000376672935688,1.53793914942e-05,0.000489707228541,0.000245284737038,4.28973630914e-06,0.00598524649257
679,0.000374987489864,1.53842388061e-05,0.000488822599213,0.000243783944495,4.27551389118e-06,0.00597533927328
680,0.000372898389892,1.53743385014e-05,0.000487538069226,0.000242275381776,4.2615385175e-06,0.00595572894713
681,0.000370686172108,1.53577137635e-05,0.000486043841964,0.000240754388065,4.24578483421e-06,0.00591928686189
682,0.000367789667307,1.53156175826e-05,0.00048386961115,0.000239223792039,4.22759346585e-06,0.00587585614135
683,0.000364596351093,1.52571385216e-05,0.000481338645873,0.000237685967381,4.20704061629e-06,0.00583507216406
684,0.000361362017259,1.51649143778e-05,0.000478447037689,0.000236097212901,4.18676522024e-06,0.00578034163713
685,0.000357839733137,1.50745296008e-05,0.00047494551818,0.000234489694311,4.16560376412e-06,0.00572048566951
686,0.000353261930407,1.49569326682e-05,0.000471190146908,0.000232868665101,4.14562593308e-06,0.00565233233028
687,0.000348247953845,1.48353742273e-05,0.000466561016927,0.000231218685811,4.12515601995e-06,0.00559327950355
688,0.000342881130502,1.46849102262e-05,0.000461696594718,0.000229556974492,4.10296009435e-06,0.00553891333226
689,0.000337791073019,1.45387680985e-05,0.000456863077204,0.000227864897052,4.08228486855e-06,0.00547882257617
690,0.000332858703527,1.43857428906e-05,0.000451965779948,0.000226169131727,4.06080720956e-06,0.00542597557639
691,0.000328227593698,1.42409486322e-05,0.000447024203547,0.00022443672071,4.04002599918e-06,0.0053714472637
692,0.000323247048071,1.40939129152e-05,0.000442212575815,0.000222677754737,4.01749430339e-06,0.00531890565876
693,0.000318458567007,1.39379063974e-05,0.000437239261311,0.000220904326557,3.99618099847e-06,0.00526217461323
694,0.000313472282141,1.37706866618e-05,0.000432184693744,0.000219143601876,3.97263272637e-06,0.00521421388082
695,0.000308750106857,1.36156357796e-05,0.000426946748846,0.000217380381221,3.95153113381e-06,0.00517230041285
696,0.000304216810038,1.34638151764e-05,0.000421603068839,0.000215630150801,3.93325457574e-06,0.00512435013476
697,0.00030049367769,1.33247690354e-05,0.000416525396294,0.000213863705662,3.91568433081e-06,0.00508192835294
698,0.000296865023423,1.31929470075e-05,0.000411923958039,0.000212104926606,3.89728207428e-06,0.00504797777308
699,0.000293565088381,1.30784962144e-05,0.000407584118349,0.000210339948818,3.87775933737e-06,0.00501067837473
700,0.000290247350568,1.29694880227e-05,0.000403458241975,0.000208572942776,3.85811305557e-06,0.00498408886388
701,0.000287160538936,1.28728221791e-05,0.000399394036563,0.00020682722063,3.84030850598e-06,0.00496702931845
702,0.00028421344624,1.27807411614e-05,0.000395623834921,0.000205086457807,3.82173694668e-06,0.00494890169557
703,0.000281762336762,1.27042141215e-05,0.000392019708352,0.000203352737644,3.80493330358e-06,0.00493216264738
704,0.000279919726301,1.2628887184e-05,0.000388611249446,0.000201635956414,3.78961381862e-06,0.00492099976173
705,0.000278628795075,1.25521521584e-05,0.000385403438073,0.000199944326639,3.77497062859e-06,0.00489545089881
706,0.000277070995309,1.24808088703e-05,0.000382145807929,0.000198296106938,3.76005287715e-06,0.0048804616761
707,0.000275616978158,1.24258462693e-05,0.000379071728062,0.00019669074628,3.74518189661e-06,0.00486776945283
708,0.000274535609995,1.2378856474e-05,0.000376274489358,0.000195118043467,3.72975130356e-06,0.00485459698274
709,0.000273785786303,1.23478127735e-05,0.000373761364683,0.000193579764137,3.71456885656e-06,0.00484080262707
710,0.000272826205714,1.23186904265e-05,0.00037149698102,0.000192073540367,3.7008524596e-06,0.00483226485045
711,0.000272285022144,1.22937022655e-05,0.000369600278827,0.000190609991217,3.69007168237e-06,0.00482393633899
712,0.000271683933095,1.2277251511e-05,0.000367789490539,0.000189195378757,3.67904041331e-06,0.00481301411524
713,0.000271480698738,1.22751134731e-05,0.000366050500985,0.000187820020082,3.6718952354e-06,0.00480401406633
714,0.000271372822334,1.22732088425e-05,0.000364295392651,0.000186483515552,3.66504272568e-06,0.00480133040007
715,0.000271583683947,1.22806907192e-05,0.000362731318357,0.000185187176637,3.6578655325e-06,0.00479990841054
716,0.000271998553071,1.22808095503e-05,0.000361326122213,0.000183930032069,3.64942477562e-06,0.00478759164495
717,0.000273061032271,1.2282144831e-05,0.000360038078014,0.000182707729561,3.64570592353e-06,0.00478722548209
