Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                  23",-3.123064020535e+01,-2.145799823155e+00,6.245108089724e-01,-3.104084453775e+01,-2.179899093699e+00,6.445171234384e-01,1.897956675943e-01,-3.409927054411e-02,2.000631446593e-02
"                  24",-3.365040886089e+01,-2.395214199975e+00,1.448679827050e+00,-3.348328698418e+01,-2.431321585233e+00,1.466854241034e+00,1.671218767132e-01,-3.610738525823e-02,1.817441398370e-02
"                  25",-3.520571474309e+01,-2.631739514209e+00,1.078544158537e+00,-3.505983824283e+01,-2.669308096726e+00,1.095348467269e+00,1.458765002606e-01,-3.756858251692e-02,1.680430873195e-02
"                  26",-3.639465581750e+01,-2.802245468604e+00,-1.432799010140e-01,-3.626907213496e+01,-2.840823699055e+00,-1.275940378504e-01,1.255836825379e-01,-3.857823045118e-02,1.568586316353e-02
"                  27",-3.767545182118e+01,-2.920555726529e+00,-1.265771793371e+00,-3.756916006409e+01,-2.959534554061e+00,-1.251299741114e+00,1.062917570912e-01,-3.897882753173e-02,1.447205225709e-02
"                  28",-3.902525379466e+01,-3.001085400203e+00,-1.766532615940e+00,-3.893829892381e+01,-3.039939141625e+00,-1.753373935527e+00,8.695487084500e-02,-3.885374142205e-02,1.315868041294e-02
"                  29",-4.037014923196e+01,-3.080125601599e+00,-1.627070000969e+00,-4.030256682018e+01,-3.118168176974e+00,-1.615195445351e+00,6.758241177610e-02,-3.804257537453e-02,1.187455561755e-02
"                  30",-4.161109052870e+01,-3.168621062041e+00,-1.230937614358e+00,-4.156322990500e+01,-3.205356125225e+00,-1.220337266612e+00,4.786062369484e-02,-3.673506318462e-02,1.060034774530e-02
"                  31",-4.273439871383e+01,-3.263081965048e+00,-9.790474499666e-01,-4.270612941880e+01,-3.298094721042e+00,-9.696874988763e-01,2.826929503540e-02,-3.501275599435e-02,9.359951090239e-03
"                  32",-4.362122465091e+01,-3.316204290241e+00,-9.457803229934e-01,-4.361221036890e+01,-3.349497533217e+00,-9.375951022015e-01,9.014282018463e-03,-3.329324297630e-02,8.185220791936e-03
"                  33",-4.425898451397e+01,-3.321284863532e+00,-1.007107066127e+00,-4.426885899759e+01,-3.352913836794e+00,-1.000247983912e+00,-9.874483623384e-03,-3.162897326238e-02,6.859082215213e-03
"                  34",-4.457729982309e+01,-3.294354279252e+00,-1.011618819775e+00,-4.460586060030e+01,-3.324445304221e+00,-1.006129406639e+00,-2.856077720731e-02,-3.009102496967e-02,5.489413136482e-03
"                  35",-4.500170129629e+01,-3.245367277737e+00,-9.451560724218e-01,-4.504872588177e+01,-3.273771319097e+00,-9.409798508128e-01,-4.702458547950e-02,-2.840404136004e-02,4.176221608984e-03
"                  36",-4.569255613874e+01,-3.195453979542e+00,-8.234509965515e-01,-4.575816920477e+01,-3.222020494236e+00,-8.204407958540e-01,-6.561306602776e-02,-2.656651469386e-02,3.010200697501e-03
"                  37",-4.621524430040e+01,-3.176455523807e+00,-6.561394186993e-01,-4.629934585810e+01,-3.201192766197e+00,-6.542695352703e-01,-8.410155770553e-02,-2.473724238994e-02,1.869883429051e-03
"                  38",-4.646220316477e+01,-3.197912420668e+00,-4.561412106061e-01,-4.656480770243e+01,-3.220903286099e+00,-4.551498559661e-01,-1.026045376620e-01,-2.299086543125e-02,9.913546399893e-04
