Time (s),Ux,Uy,Uz,p
372,0.0,0.0,0.0,0.39452441854714965
373,0.0,0.0,0.0,0.39452422976191087
374,0.0,0.0,0.0,0.39452406136332135
375,0.0,0.0,0.0,0.39452388233083974
376,0.0,0.0,0.0,0.3945236809047312
377,0.0,0.0,0.0,0.39452346223230517
378,0.0,0.0,0.0,0.39452325605731814
379,0.0,0.0,0.0,0.3945230688057477
380,0.0,0.0,0.0,0.39452288719869405
381,0.0,0.0,0.0,0.39452273137517874
382,0.0,0.0,0.0,0.39452258589004746
383,0.0,0.0,0.0,0.39452244127986263
384,0.0,0.0,0.0,0.3945222730649646
385,0.0,0.0,0.0,0.3945220973532599
386,0.0,0.0,0.0,0.39452194401681806
387,0.0,0.0,0.0,0.3945218304700157
388,0.0,0.0,0.0,0.39452172836817223
389,0.0,0.0,0.0,0.3945215921105379
390,0.0,0.0,0.0,0.3945214121550613
391,0.0,0.0,0.0,0.3945212133683129
392,0.0,0.0,0.0,0.3945210074728798
393,0.0,0.0,0.0,0.39452080124421013
394,0.0,0.0,0.0,0.3945206004482797
395,0.0,0.0,0.0,0.3945204263998149
396,0.0,0.0,0.0,0.39452028021010166
397,0.0,0.0,0.0,0.3945201492661516
398,0.0,0.0,0.0,0.3945200158641666
399,0.0,0.0,0.0,0.39451988990557607
400,0.0,0.0,0.0,0.39451980009170307
401,0.0,0.0,0.0,0.3945197550897528
402,0.0,0.0,0.0,0.3945197330878326
403,0.0,0.0,0.0,0.39451971751852283
404,0.0,0.0,0.0,0.39451969159904426
405,0.0,0.0,0.0,0.3945196499509564
406,0.0,0.0,0.0,0.3945196228160454
407,0.0,0.0,0.0,0.39451963210082325
408,0.0,0.0,0.0,0.39451966371012587
409,0.0,0.0,0.0,0.394519690055359
410,0.0,0.0,0.0,0.39451969893656963
411,0.0,0.0,0.0,0.39451968202614845
412,0.0,0.0,0.0,0.39451965290973806
413,0.0,0.0,0.0,0.39451962175319644
414,0.0,0.0,0.0,0.39451957133106386
415,0.0,0.0,0.0,0.3945194832220961
416,0.0,0.0,0.0,0.39451939151347165
417,0.0,0.0,0.0,0.3945193337820358
418,0.0,0.0,0.0,0.3945193194634731
419,0.0,0.0,0.0,0.3945192944565857
420,0.0,0.0,0.0,0.39451924017785517
421,0.0,0.0,0.0,0.3945191340990086
422,0.0,0.0,0.0,0.39451898442092986
