Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                 803",-1.233132707481e+01,2.677313993490e+02,1.771035503047e+02,-1.235092438303e+01,2.873076812677e+02,1.772311591185e+02,-1.959730821247e-02,1.957628191872e+01,1.276088138182e-01
"                 804",-1.233304179535e+01,2.677323542397e+02,1.771066261108e+02,-1.235264151192e+01,2.873102892813e+02,1.772341145410e+02,-1.959971657062e-02,1.957793504155e+01,1.274884302465e-01
"                 805",-1.233008256907e+01,2.677324399197e+02,1.771055995606e+02,-1.234968588174e+01,2.873119980707e+02,1.772330161218e+02,-1.960331266239e-02,1.957955815098e+01,1.274165611554e-01
"                 806",-1.233484355362e+01,2.677346055858e+02,1.771107455021e+02,-1.235447042594e+01,2.873158199803e+02,1.772380398551e+02,-1.962687232390e-02,1.958121439448e+01,1.272943530053e-01
"                 807",-1.233273738111e+01,2.677373107202e+02,1.771121916101e+02,-1.235237907917e+01,2.873201408512e+02,1.772393954326e+02,-1.964169806053e-02,1.958283013108e+01,1.272038224881e-01
"                 808",-1.233596885135e+01,2.677420923806e+02,1.771190093690e+02,-1.235564694255e+01,2.873265426238e+02,1.772460544990e+02,-1.967809120334e-02,1.958445024311e+01,1.270451299446e-01
"                 809",-1.232997464004e+01,2.677464678249e+02,1.771209015610e+02,-1.234968532143e+01,2.873324897090e+02,1.772478066700e+02,-1.971068138351e-02,1.958602188409e+01,1.269051089915e-01
"                 810",-1.232961842710e+01,2.677516858816e+02,1.771275724497e+02,-1.234937628687e+01,2.873393020362e+02,1.772542771677e+02,-1.975785977256e-02,1.958761615451e+01,1.267047180213e-01
"                 811",-1.232416819561e+01,2.677553315565e+02,1.771289511043e+02,-1.234394010642e+01,2.873445266205e+02,1.772555009674e+02,-1.977191081182e-02,1.958919506400e+01,1.265498631175e-01
"                 812",-1.232794598610e+01,2.677590117879e+02,1.771348023994e+02,-1.234771907565e+01,2.873498388112e+02,1.772611615687e+02,-1.977308954747e-02,1.959082702335e+01,1.263591692777e-01
"                 813",-1.232795387106e+01,2.677608455396e+02,1.771354312484e+02,-1.234770953915e+01,2.873532914067e+02,1.772616584347e+02,-1.975566809477e-02,1.959244586706e+01,1.262271862884e-01
"                 814",-1.233538543812e+01,2.677630326088e+02,1.771403566082e+02,-1.235515174686e+01,2.873571294225e+02,1.772664190825e+02,-1.976630873487e-02,1.959409681373e+01,1.260624743555e-01
"                 815",-1.233708330125e+01,2.677640842696e+02,1.771393420439e+02,-1.235685220537e+01,2.873598027004e+02,1.772652954204e+02,-1.976890411419e-02,1.959571843073e+01,1.259533765620e-01
"                 816",-1.234545835316e+01,2.677659940997e+02,1.771424314711e+02,-1.236522805204e+01,2.873633718841e+02,1.772682390370e+02,-1.976969888691e-02,1.959737778435e+01,1.258075658141e-01
"                 817",-1.234659049896e+01,2.677675106553e+02,1.771407250316e+02,-1.236634309712e+01,2.873665219374e+02,1.772664471673e+02,-1.975259815487e-02,1.959901128214e+01,1.257221356646e-01
"                 818",-1.235293107984e+01,2.677707014926e+02,1.771441255863e+02,-1.237269978164e+01,2.873713685848e+02,1.772697248712e+02,-1.976870179714e-02,1.960066709223e+01,1.255992849676e-01
"                 819",-1.235433227821e+01,2.677731304595e+02,1.771428151818e+02,-1.237413915931e+01,2.873754108973e+02,1.772683404716e+02,-1.980688110068e-02,1.960228043780e+01,1.255252898672e-01
"                 820",-1.236276717551e+01,2.677762824846e+02,1.771463472969e+02,-1.238263825293e+01,2.873801943084e+02,1.772717550374e+02,-1.987107742116e-02,1.960391182383e+01,1.254077404768e-01
"                 821",-1.236404898430e+01,2.677790511628e+02,1.771458119052e+02,-1.238397082816e+01,2.873845388271e+02,1.772711427776e+02,-1.992184385922e-02,1.960548766429e+01,1.253308723377e-01
"                 822",-1.237039144692e+01,2.677837004273e+02,1.771511000406e+02,-1.239037046456e+01,2.873907680462e+02,1.772762873093e+02,-1.997901763546e-02,1.960706761887e+01,1.251872686878e-01
"                 823",-1.236969189135e+01,2.677884262141e+02,1.771525851832e+02,-1.238971060789e+01,2.873970153716e+02,1.772776455510e+02,-2.001871654318e-02,1.960858915753e+01,1.250603678413e-01
"                 824",-1.237275595489e+01,2.677941246627e+02,1.771586989701e+02,-1.239284419201e+01,2.874042415193e+02,1.772835590337e+02,-2.008823711171e-02,1.961011685662e+01,1.248600635395e-01
"                 825",-1.236768165456e+01,2.677982912444e+02,1.771597278725e+02,-1.238782628051e+01,2.874098999131e+02,1.772844163351e+02,-2.014462594632e-02,1.961160866866e+01,1.246884625634e-01
"                 826",-1.236734781667e+01,2.678022479778e+02,1.771644473519e+02,-1.238754344192e+01,2.874153895802e+02,1.772889118275e+02,-2.019562524984e-02,1.961314160243e+01,1.244644756152e-01
"                 827",-1.236122240367e+01,2.678044292046e+02,1.771637693079e+02,-1.238142953979e+01,2.874190875605e+02,1.772880558948e+02,-2.020713612641e-02,1.961465835587e+01,1.242865868561e-01
"                 828",-1.236221819674e+01,2.678070149543e+02,1.771674286113e+02,-1.238245009168e+01,2.874232266138e+02,1.772914959568e+02,-2.023189494047e-02,1.961621165950e+01,1.240673454692e-01
"                 829",-1.236038175319e+01,2.678085331938e+02,1.771663218952e+02,-1.238063817363e+01,2.874262728378e+02,1.772902150840e+02,-2.025642043829e-02,1.961773964394e+01,1.238931887366e-01
"                 830",-1.236788343714e+01,2.678103499254e+02,1.771690331869e+02,-1.238819213733e+01,2.874296561928e+02,1.772927073940e+02,-2.030870019104e-02,1.961930626741e+01,1.236742070636e-01
"                 831",-1.237128672547e+01,2.678102464532e+02,1.771661895388e+02,-1.239164271137e+01,2.874311041720e+02,1.772897020609e+02,-2.035598590582e-02,1.962085771884e+01,1.235125220557e-01
"                 832",-1.237947200073e+01,2.678102807928e+02,1.771670457526e+02,-1.239988559015e+01,2.874327347401e+02,1.772903656510e+02,-2.041358941929e-02,1.962245394725e+01,1.233198984938e-01
"                 833",-1.237977501971e+01,2.678096047592e+02,1.771630942107e+02,-1.240023911341e+01,2.874336222789e+02,1.772862747579e+02,-2.046409369802e-02,1.962401751966e+01,1.231805471932e-01
"                 834",-1.238607925921e+01,2.678108634808e+02,1.771645625055e+02,-1.240662745320e+01,2.874364603205e+02,1.772875573175e+02,-2.054819399230e-02,1.962559683976e+01,1.229948120562e-01
"                 835",-1.238771250156e+01,2.678124569707e+02,1.771626155711e+02,-1.240833850876e+01,2.874395906918e+02,1.772854703701e+02,-2.062600719444e-02,1.962713372112e+01,1.228547989669e-01
"                 836",-1.239492136902e+01,2.678164354088e+02,1.771666335505e+02,-1.241562542484e+01,2.874451234542e+02,1.772892935984e+02,-2.070405582174e-02,1.962868804544e+01,1.226600478432e-01
"                 837",-1.239428502122e+01,2.678203400263e+02,1.771668257321e+02,-1.241503448026e+01,2.874505321351e+02,1.772893211189e+02,-2.074945904174e-02,1.963019210879e+01,1.224953867490e-01
"                 838",-1.239758583575e+01,2.678253835364e+02,1.771715754237e+02,-1.241838752237e+01,2.874570939595e+02,1.772938462863e+02,-2.080168661385e-02,1.963171042313e+01,1.222708625281e-01
"                 839",-1.239222012164e+01,2.678288888803e+02,1.771710604279e+02,-1.241306817860e+01,2.874620706340e+02,1.772931327419e+02,-2.084805695713e-02,1.963318175365e+01,1.220723140216e-01
"                 840",-1.239272349965e+01,2.678322234905e+02,1.771747148697e+02,-1.241364083624e+01,2.874668915810e+02,1.772965250030e+02,-2.091733658625e-02,1.963466809056e+01,1.218101332842e-01
"                 841",-1.238854081274e+01,2.678333552769e+02,1.771730875738e+02,-1.240951110454e+01,2.874694837121e+02,1.772946744676e+02,-2.097029180112e-02,1.963612843523e+01,1.215868937836e-01
"                 842",-1.239181258928e+01,2.678346995477e+02,1.771754544188e+02,-1.241283481792e+01,2.874723265284e+02,1.772967726672e+02,-2.102222863878e-02,1.963762698071e+01,1.213182484592e-01
"                 843",-1.238718389505e+01,2.678343738163e+02,1.771729473029e+02,-1.240822660104e+01,2.874734788447e+02,1.772940442495e+02,-2.104270598726e-02,1.963910502840e+01,1.210969466313e-01
"                 844",-1.238599120488e+01,2.678348737641e+02,1.771749355081e+02,-1.240707752864e+01,2.874754868109e+02,1.772957721432e+02,-2.108632376000e-02,1.964061304681e+01,1.208366350609e-01
"                 845",-1.237899522024e+01,2.678332760498e+02,1.771715940417e+02,-1.240014137839e+01,2.874753687316e+02,1.772922272190e+02,-2.114615814767e-02,1.964209268179e+01,1.206331773495e-01
"                 846",-1.238224109109e+01,2.678318304786e+02,1.771722873061e+02,-1.240348019113e+01,2.874754327701e+02,1.772926870953e+02,-2.123910003838e-02,1.964360229157e+01,1.203997892544e-01
"                 847",-1.238399700951e+01,2.678286914458e+02,1.771683110996e+02,-1.240531866566e+01,2.874737772094e+02,1.772885381168e+02,-2.132165615151e-02,1.964508576362e+01,1.202270171085e-01
"                 848",-1.239354939568e+01,2.678276351555e+02,1.771695241857e+02,-1.241497279575e+01,2.874742256728e+02,1.772895450348e+02,-2.142340006956e-02,1.964659051738e+01,1.200208490521e-01
"                 849",-1.239737680260e+01,2.678266909798e+02,1.771669793322e+02,-1.241889464343e+01,2.874747448698e+02,1.772868401709e+02,-2.151784082714e-02,1.964805389005e+01,1.198608387267e-01
